subgroup,n,accuracy,log_loss,brier,mean_confidence
QB change (either team),59,0.6949,0.5713,0.1945,0.5904
No QB change,216,0.6204,0.6446,0.2272,0.5343
Home QB change,59,0.6949,0.5713,0.1945,0.5904
Strong favorite (prob >= 0.65),74,0.7838,0.5095,0.1655,0.737
Near toss-up (0.45-0.55),53,0.4717,0.6975,0.2522,0.4998
Home favorite,166,0.6747,0.598,0.2057,0.6509
Away favorite (underdog),109,0.578,0.676,0.2422,0.3871
Game type: REG,263,0.6312,0.6315,0.2216,0.5416
Game type: WC,6,0.8333,0.5884,0.1917,0.6914
Game type: DIV,4,0.75,0.5013,0.1591,0.6561
Game type: CON,2,0.5,0.6651,0.2361,0.5153
Roof: outdoors,182,0.6319,0.6381,0.225,0.5567
Roof: dome,52,0.5577,0.6742,0.2396,0.5462
Roof: closed,31,0.8387,0.4904,0.1558,0.5033
Weekday: Sunday,219,0.6164,0.6418,0.2264,0.5511
Weekday: Monday,17,0.7647,0.6398,0.2223,0.5193
Weekday: Thursday,19,0.5789,0.6185,0.2154,0.4733
Weekday: Saturday,20,0.8,0.488,0.1542,0.5869
Divisional game,97,0.6186,0.6417,0.2261,0.5492
Non-divisional game,178,0.6461,0.6219,0.2169,0.5448
Early season (W1-4),62,0.5484,0.701,0.2528,0.5293
Mid season (W5-12),111,0.6216,0.6467,0.2288,0.5443
Late season (W13-18),90,0.7,0.5648,0.1913,0.5467
Postseason (W19+),12,0.75,0.5721,0.1883,0.6503
Confidence: 50-55,23,0.4348,0.6943,0.2506,0.5261
Confidence: 55-60,37,0.6486,0.657,0.2321,0.5752
Confidence: 60-65,32,0.625,0.6651,0.236,0.6291
Confidence: 65-70,23,0.6522,0.6421,0.2251,0.6739
Confidence: 70-80,38,0.8421,0.4669,0.1438,0.734
Confidence: 80+,13,0.8462,0.399,0.1232,0.857
