team,games,accuracy,log_loss,brier,avg_predicted_win_prob,actual_win_rate,calibration_gap,is_overestimated,is_underestimated
ARI,17,0.7647,0.6147,0.2095,0.2882,0.2353,0.0529,True,False
ATL,16,0.4375,0.7761,0.2911,0.5025,0.4375,0.065,True,False
BAL,18,0.5556,0.7499,0.2701,0.5958,0.7222,-0.1264,False,True
BUF,18,0.6667,0.639,0.2244,0.6203,0.6667,-0.0464,False,False
CAR,17,0.7647,0.5198,0.1684,0.3594,0.1176,0.2417,True,False
CHI,17,0.7647,0.5916,0.2018,0.3596,0.4118,-0.0521,False,True
CIN,17,0.5882,0.7364,0.2698,0.5952,0.5294,0.0658,True,False
CLE,18,0.5556,0.6607,0.2351,0.4617,0.6111,-0.1494,False,True
DAL,18,0.8333,0.5164,0.1699,0.6348,0.6667,-0.0318,False,False
DEN,17,0.5882,0.7458,0.2734,0.4242,0.4706,-0.0464,False,False
DET,20,0.7,0.6211,0.2191,0.6166,0.7,-0.0834,False,True
GB,19,0.5263,0.7292,0.2669,0.5159,0.5263,-0.0104,False,False
HOU,19,0.4737,0.7617,0.281,0.4687,0.5789,-0.1103,False,True
IND,16,0.5625,0.748,0.2698,0.4618,0.5,-0.0382,False,False
JAX,15,0.6667,0.6475,0.2288,0.5787,0.4667,0.112,True,False
KC,19,0.5789,0.6979,0.2523,0.6372,0.6842,-0.0471,False,False
LA,18,0.8333,0.5841,0.1933,0.431,0.5556,-0.1246,False,True
LAC,17,0.7059,0.581,0.1976,0.4803,0.2941,0.1861,True,False
LV,17,0.8824,0.5722,0.1929,0.4319,0.4706,-0.0387,False,False
MIA,17,0.8824,0.5332,0.1717,0.5723,0.6471,-0.0748,False,True
MIN,17,0.6471,0.6466,0.2286,0.4901,0.4118,0.0783,True,False
NE,16,0.6875,0.664,0.2342,0.3855,0.25,0.1355,True,False
NO,17,0.7647,0.61,0.2104,0.5294,0.5294,0.0,False,False
NYG,17,0.7059,0.5701,0.195,0.3789,0.3529,0.026,False,False
NYJ,17,0.5882,0.6603,0.2355,0.375,0.4118,-0.0368,False,False
PHI,18,0.6111,0.7005,0.2492,0.6594,0.6111,0.0483,False,False
PIT,18,0.5,0.7878,0.2921,0.5326,0.5556,-0.023,False,False
SEA,17,0.6471,0.6212,0.218,0.4993,0.5294,-0.0301,False,False
SF,19,0.6316,0.6551,0.2322,0.6661,0.7368,-0.0708,False,True
TB,19,0.5789,0.6451,0.2276,0.4959,0.5263,-0.0304,False,False
TEN,16,0.5625,0.7365,0.2684,0.4347,0.375,0.0597,True,False
WAS,17,0.6471,0.5514,0.1842,0.4343,0.2353,0.199,True,False
